doc_id,source_file,module_code,url
doc_0000,moduleoverviews.txt,CHEM0811,https://catalogue.leeds.ac.uk/Module/UG/CHEM/0811/
doc_0001,moduleoverviews.txt,CHEM0821,https://catalogue.leeds.ac.uk/Module/UG/CHEM/0821/202526
doc_0002,moduleoverviews.txt,CHEM0831,https://catalogue.leeds.ac.uk/Module/UG/CHEM/0831/202526
doc_0003,moduleoverviews.txt,CHEM0841,https://catalogue.leeds.ac.uk/Module/UG/CHEM/0841/202526
doc_0004,moduleoverviews.txt,CHEM1102,https://catalogue.leeds.ac.uk/Module/UG/CHEM/1102/202526
doc_0005,moduleoverviews.txt,CHEM1151,https://catalogue.leeds.ac.uk/Module/UG/CHEM/1151/202526
doc_0006,moduleoverviews.txt,CHEM1204,https://catalogue.leeds.ac.uk/Module/UG/CHEM/1204/
doc_0007,moduleoverviews.txt,CHEM1205,https://catalogue.leeds.ac.uk/Module/UG/CHEM/1205/202526
doc_0008,moduleoverviews.txt,CHEM1302,https://catalogue.leeds.ac.uk/Module/UG/CHEM/1302/202526
doc_0009,moduleoverviews.txt,CHEM1303,https://catalogue.leeds.ac.uk/Module/UG/CHEM/1303/202526
doc_0010,moduleoverviews.txt,CHEM1402,https://catalogue.leeds.ac.uk/Module/UG/CHEM/1402/202526
doc_0011,moduleoverviews.txt,CHEM1403,https://catalogue.leeds.ac.uk/Module/UG/CHEM/1403/
doc_0012,moduleoverviews.txt,CHEM1465,https://catalogue.leeds.ac.uk/Module/UG/CHEM/1465/202526
doc_0013,moduleoverviews.txt,CHEM2112,https://catalogue.leeds.ac.uk/Module/UG/CHEM/2112/202526
doc_0014,moduleoverviews.txt,CHEM2131,https://catalogue.leeds.ac.uk/Module/UG/CHEM/2131/202526
doc_0015,moduleoverviews.txt,CHEM2192,https://catalogue.leeds.ac.uk/Module/UG/CHEM/2192/202526
doc_0016,moduleoverviews.txt,CHEM2212,https://catalogue.leeds.ac.uk/Module/UG/CHEM/2212/202526
doc_0017,moduleoverviews.txt,CHEM2242,https://catalogue.leeds.ac.uk/Module/UG/CHEM/2242/202526
doc_0018,moduleoverviews.txt,CHEM2293,https://catalogue.leeds.ac.uk/Module/UG/CHEM/2293/
doc_0019,moduleoverviews.txt,CHEM2321,https://catalogue.leeds.ac.uk/Module/UG/CHEM/2321/202526
doc_0020,moduleoverviews.txt,CHEM2331,https://catalogue.leeds.ac.uk/Module/UG/CHEM/2331/202526
doc_0021,moduleoverviews.txt,CHEM2342,https://catalogue.leeds.ac.uk/Module/UG/CHEM/2342/
doc_0022,moduleoverviews.txt,CHEM2371,https://catalogue.leeds.ac.uk/Module/UG/CHEM/2371/202526
doc_0023,moduleoverviews.txt,CHEM2372,https://catalogue.leeds.ac.uk/Module/UG/CHEM/2372/202526
doc_0024,moduleoverviews.txt,CHEM2402,https://catalogue.leeds.ac.uk/Module/UG/CHEM/2402/202526
doc_0025,moduleoverviews.txt,CHEM2403,https://catalogue.leeds.ac.uk/Module/UG/CHEM/2403/202526
doc_0026,moduleoverviews.txt,CHEM2415,https://catalogue.leeds.ac.uk/Module/UG/CHEM/2415/202526
doc_0027,moduleoverviews.txt,CHEM2425,https://catalogue.leeds.ac.uk/Module/UG/CHEM/2425/
doc_0028,moduleoverviews.txt,CHEM2452,https://catalogue.leeds.ac.uk/Module/UG/CHEM/2452/
doc_0029,moduleoverviews.txt,CHEM2491,https://catalogue.leeds.ac.uk/Module/UG/CHEM/2491/202526
doc_0030,moduleoverviews.txt,CHEM2492,https://catalogue.leeds.ac.uk/Module/UG/CHEM/2492/202526
doc_0031,moduleoverviews.txt,CHEM2690,https://catalogue.leeds.ac.uk/Module/UG/CHEM/2690/202526
doc_0032,moduleoverviews.txt,CHEM3126,https://catalogue.leeds.ac.uk/Module/UG/CHEM/3126/202526
doc_0033,moduleoverviews.txt,CHEM3136,https://catalogue.leeds.ac.uk/Module/UG/CHEM/3136/202526
doc_0034,moduleoverviews.txt,CHEM3146,https://catalogue.leeds.ac.uk/Module/UG/CHEM/3146/202526
doc_0035,moduleoverviews.txt,CHEM3185,https://catalogue.leeds.ac.uk/Module/UG/CHEM/3185/202526
doc_0036,moduleoverviews.txt,CHEM3211,https://catalogue.leeds.ac.uk/Module/UG/CHEM/3211/202526
doc_0037,moduleoverviews.txt,CHEM3212,https://catalogue.leeds.ac.uk/Module/UG/CHEM/3212/202526
doc_0038,moduleoverviews.txt,CHEM3216,https://catalogue.leeds.ac.uk/Module/UG/CHEM/3216/202526
doc_0039,moduleoverviews.txt,CHEM3226,https://catalogue.leeds.ac.uk/Module/UG/CHEM/3226/202526
doc_0040,moduleoverviews.txt,CHEM3281,https://catalogue.leeds.ac.uk/Module/UG/CHEM/3281/202526
doc_0041,moduleoverviews.txt,CHEM3282,https://catalogue.leeds.ac.uk/Module/UG/CHEM/3282/
doc_0042,moduleoverviews.txt,CHEM3283,https://catalogue.leeds.ac.uk/Module/UG/CHEM/3283/202526
doc_0043,moduleoverviews.txt,CHEM3291,https://catalogue.leeds.ac.uk/Module/UG/CHEM/3291/202526
doc_0044,moduleoverviews.txt,CHEM3292,https://catalogue.leeds.ac.uk/Module/UG/CHEM/3292/202526
doc_0045,moduleoverviews.txt,CHEM3302,https://catalogue.leeds.ac.uk/Module/UG/CHEM/3302/202526
doc_0046,moduleoverviews.txt,CHEM3145,https://catalogue.leeds.ac.uk/Module/UG/CHEM/3415/202526
doc_0047,moduleoverviews.txt,CHEM3417,https://catalogue.leeds.ac.uk/Module/UG/CHEM/3417/202526
doc_0048,moduleoverviews.txt,CHEM3420,https://catalogue.leeds.ac.uk/Module/UG/CHEM/3420/202526
doc_0049,moduleoverviews.txt,CHEM3424,https://catalogue.leeds.ac.uk/Module/UG/CHEM/3424/202526
doc_0050,moduleoverviews.txt,CHEM3425,https://catalogue.leeds.ac.uk/Module/UG/CHEM/3425/
doc_0051,moduleoverviews.txt,CHEM3437,https://catalogue.leeds.ac.uk/Module/UG/CHEM/3437/202526
doc_0052,moduleoverviews.txt,CHEM3455,https://catalogue.leeds.ac.uk/Module/UG/CHEM/3455/202526
doc_0053,moduleoverviews.txt,CHEM3480,https://catalogue.leeds.ac.uk/Module/UG/CHEM/3480/202526
doc_0054,moduleoverviews.txt,CHEM3621,https://catalogue.leeds.ac.uk/Module/UG/CHEM/3621/202526
doc_0055,moduleoverviews.txt,CHEM3650,https://catalogue.leeds.ac.uk/Module/UG/CHEM/3650/202526
doc_0056,moduleoverviews.txt,CHEM3666,https://catalogue.leeds.ac.uk/Module/UG/CHEM/3666/202526
doc_0057,moduleoverviews.txt,CHEM3720,https://catalogue.leeds.ac.uk/Module/UG/CHEM/3720/202526
doc_0058,moduleoverviews.txt,CHEM8101,https://catalogue.leeds.ac.uk/Module/UG/CHEM/8101/
doc_0059,moduleoverviews.txt,CHEM8501,https://catalogue.leeds.ac.uk/Module/UG/CHEM/8501/202526
doc_0060,moduleoverviews.txt,CHEM9302,https://catalogue.leeds.ac.uk/Module/UG/CHEM/9302/202526
doc_0061,moduleoverviews.txt,CHEM9304,https://catalogue.leeds.ac.uk/Module/UG/CHEM/9304/202526
doc_0062,CHEM0811.html,CHEM0811,N/A
doc_0063,CHEM0821.html,CHEM0821,N/A
doc_0064,CHEM0831.html,CHEM0831,N/A
doc_0065,CHEM0841.html,CHEM0841,N/A
doc_0066,CHEM1102.html,CHEM1102,N/A
doc_0067,CHEM1151.html,CHEM1151,N/A
doc_0068,CHEM1204.html,CHEM1204,N/A
doc_0069,CHEM1205.html,CHEM1205,N/A
doc_0070,CHEM1302.html,CHEM1302,N/A
doc_0071,CHEM1303.html,CHEM1303,N/A
doc_0072,CHEM1402.html,CHEM1402,N/A
doc_0073,CHEM1403.html,CHEM1403,N/A
doc_0074,CHEM1465.html,CHEM1465,N/A
doc_0075,CHEM2112.html,CHEM2112,N/A
doc_0076,CHEM2131.html,CHEM2131,N/A
doc_0077,CHEM2192.html,CHEM2192,N/A
doc_0078,CHEM2212.html,CHEM2212,N/A
doc_0079,CHEM2242.html,CHEM2242,N/A
doc_0080,CHEM2293.html,CHEM2293,N/A
doc_0081,CHEM2321.html,CHEM2321,N/A
doc_0082,CHEM2331.html,CHEM2331,N/A
